no,nama,kota_kab,jenis,wilkum,ket
58,Eco Village Silimalombu,Onanrunggu/Samosir,Agrowisata,Polres Samosir,Objek Wisata Biasa
59,Hariara Bolon Sukkean,Onanrunggu/Samosir,Wisata Religi,Polres Samosir,Objek Wisata Biasa
60,Liang Sipogu,Simanindo/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
61,Pea Porohan,Ronggur Nihuta/Samosir,Wisata alam,Polres Samosir,Objek Wisata Biasa
62,Goa Lumban Dolok,Ronggur Nihuta/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
63,Sampuran Bona-bona,Ronggur Nihuta/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
64,Sampuran Sigaol,Ronggur Nihuta/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
65,Aek Marulak,Ronggur Nihuta/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
66,Batu Rante,Palipi/Samosir,Wisata Budaya,Polres Samosir,Objek Wisata Biasa
67,Hariara Maranak,Palipi/Samosir,Wisata Budaya,Polres Samosir,Objek Wisata Biasa
68,Jembatan tano Ponggol,Kec. Pangururan,Wisata Alam,Polres Samosir,Objek Vital nasional
69,Water Front City,Kec. Pangururan,Wisata Alam,Polres Samosir,Objek Vital nasional
